idx,model,st_dim,st_heads,st_inds,st_isab,st_seeds,st_use_k_norm,dropout,lr,wd,batch_size,epochs,hidden,val_acc_mean,val_acc_std,val_f1_mean,val_f1_std,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std
22,settransformer,32,2,32,1,1,True,0.0,0.0005,0.0,4,60,128,0.9444444444444443,0.039283710065919325,0.9407407407407407,0.041902624070313935,0.638888888888889,0.0785674201318386,0.6203703703703703,0.0912119285631463
23,settransformer,32,2,32,1,1,True,0.0,0.0005,1e-05,4,60,128,0.9444444444444443,0.039283710065919325,0.9407407407407407,0.041902624070313935,0.638888888888889,0.0785674201318386,0.6203703703703703,0.0912119285631463
6,settransformer,32,2,16,1,1,True,0.0,0.0005,0.0001,4,60,128,0.9722222222222222,0.039283710065919325,0.9703703703703703,0.041902624070313935,0.6388888888888888,0.03928371006591927,0.6166666666666667,0.06301740565619833
29,settransformer,32,2,32,1,1,True,0.05,0.0005,1e-05,4,60,128,0.9444444444444443,0.039283710065919325,0.9407407407407407,0.041902624070313935,0.6388888888888888,0.03928371006591927,0.6148148148148148,0.045436459801427
28,settransformer,32,2,32,1,1,True,0.05,0.0005,0.0,4,60,128,0.9444444444444443,0.039283710065919325,0.9407407407407407,0.041902624070313935,0.6388888888888888,0.03928371006591927,0.6148148148148148,0.045436459801427
24,settransformer,32,2,32,1,1,True,0.0,0.0005,0.0001,4,60,128,0.9444444444444443,0.039283710065919325,0.9407407407407407,0.041902624070313935,0.611111111111111,0.0785674201318386,0.611111111111111,0.07467350056909612
8,settransformer,32,2,16,1,1,True,0.05,0.0003,1e-05,4,60,128,0.9722222222222222,0.039283710065919325,0.9703703703703703,0.041902624070313935,0.611111111111111,0.0785674201318386,0.6092592592592593,0.08131295703740796
7,settransformer,32,2,16,1,1,True,0.05,0.0003,0.0,4,60,128,0.9722222222222222,0.039283710065919325,0.9703703703703703,0.041902624070313935,0.611111111111111,0.0785674201318386,0.6092592592592593,0.08131295703740796
25,settransformer,32,2,32,1,1,True,0.05,0.0003,0.0,4,60,128,0.9722222222222222,0.039283710065919325,0.9703703703703703,0.041902624070313935,0.6111111111111112,0.03928371006591927,0.6037037037037037,0.042147432136077925
26,settransformer,32,2,32,1,1,True,0.05,0.0003,1e-05,4,60,128,0.9722222222222222,0.039283710065919325,0.9703703703703703,0.041902624070313935,0.6111111111111112,0.03928371006591927,0.6037037037037037,0.042147432136077925
31,settransformer,32,2,32,1,1,True,0.1,0.0003,0.0,4,60,128,0.9722222222222222,0.039283710065919325,0.9703703703703703,0.041902624070313935,0.6111111111111112,0.03928371006591927,0.601851851851852,0.042873470010334154
32,settransformer,32,2,32,1,1,True,0.1,0.0003,1e-05,4,60,128,0.9722222222222222,0.039283710065919325,0.9703703703703703,0.041902624070313935,0.6111111111111112,0.03928371006591927,0.601851851851852,0.042873470010334154
33,settransformer,32,2,32,1,1,True,0.1,0.0003,0.0001,4,60,128,0.9166666666666666,0.06804138174397716,0.9111111111111111,0.07257747386024228,0.611111111111111,0.0785674201318386,0.5891534391534391,0.07747574802215246
15,settransformer,32,2,16,1,1,True,0.1,0.0003,0.0001,4,60,128,0.9722222222222222,0.039283710065919325,0.9703703703703703,0.041902624070313935,0.5833333333333334,0.06804138174397716,0.5833333333333334,0.06849348892187752
10,settransformer,32,2,16,1,1,True,0.05,0.0005,0.0,4,60,128,0.9166666666666666,0.06804138174397716,0.8925925925925925,0.09615374063516424,0.6111111111111112,0.03928371006591927,0.5740740740740741,0.06547285010986549
11,settransformer,32,2,16,1,1,True,0.05,0.0005,1e-05,4,60,128,0.9166666666666666,0.06804138174397716,0.8925925925925925,0.09615374063516424,0.6111111111111112,0.03928371006591927,0.5740740740740741,0.06547285010986549
30,settransformer,32,2,32,1,1,True,0.05,0.0005,0.0001,4,60,128,0.9166666666666666,0.0,0.9111111111111111,0.0,0.5833333333333334,0.06804138174397716,0.5669312169312168,0.06760902791518852
21,settransformer,32,2,32,1,1,True,0.0,0.0003,0.0001,4,60,128,0.9722222222222222,0.039283710065919325,0.9703703703703703,0.041902624070313935,0.5833333333333334,0.06804138174397716,0.5648148148148148,0.06869347033700524
14,settransformer,32,2,16,1,1,True,0.1,0.0003,1e-05,4,60,128,1.0,0.0,1.0,0.0,0.5833333333333334,0.06804138174397716,0.5613756613756613,0.10358147964230921
13,settransformer,32,2,16,1,1,True,0.1,0.0003,0.0,4,60,128,1.0,0.0,1.0,0.0,0.5833333333333334,0.06804138174397716,0.5613756613756613,0.10358147964230921
34,settransformer,32,2,32,1,1,True,0.1,0.0005,0.0,4,60,128,0.9166666666666666,0.0,0.9111111111111111,0.0,0.5555555555555557,0.039283710065919325,0.5314814814814816,0.025793311624415033
35,settransformer,32,2,32,1,1,True,0.1,0.0005,1e-05,4,60,128,0.9166666666666666,0.0,0.9111111111111111,0.0,0.5555555555555557,0.039283710065919325,0.5314814814814816,0.025793311624415033
