Node Number,Residual_EquivalentStress_t0p1,Residual_EquivalentStress_t0p5,Residual_EquivalentStress_t0p9,Residual_EquivalentStress_t1p1,Residual_EquivalentStress_t1p5,Residual_EquivalentStress_t1p9,Residual_EquivalentStress_t2p1,Residual_EquivalentStress_t2p5,Residual_EquivalentStress_t2p9,Residual_EquivalentStress_t3p0,Residual_ShearStress_XY_t0p1,Residual_ShearStress_XY_t0p5,Residual_ShearStress_XY_t0p9,Residual_ShearStress_XY_t1p1,Residual_ShearStress_XY_t1p5,Residual_ShearStress_XY_t1p9,Residual_ShearStress_XY_t2p1,Residual_ShearStress_XY_t2p5,Residual_ShearStress_XY_t2p9,Residual_ShearStress_XY_t3p0,Residual_ShearStress_XZ_t0p1,Residual_ShearStress_XZ_t0p5,Residual_ShearStress_XZ_t0p9,Residual_ShearStress_XZ_t1p1,Residual_ShearStress_XZ_t1p5,Residual_ShearStress_XZ_t1p9,Residual_ShearStress_XZ_t2p1,Residual_ShearStress_XZ_t2p5,Residual_ShearStress_XZ_t2p9,Residual_ShearStress_XZ_t3p0,Residual_ShearStress_YZ_t0p1,Residual_ShearStress_YZ_t0p5,Residual_ShearStress_YZ_t0p9,Residual_ShearStress_YZ_t1p1,Residual_ShearStress_YZ_t1p5,Residual_ShearStress_YZ_t1p9,Residual_ShearStress_YZ_t2p1,Residual_ShearStress_YZ_t2p5,Residual_ShearStress_YZ_t2p9,Residual_ShearStress_YZ_t3p0
20794,-99780024000.0,-27077258000.0,-99890019000.0,-13108701000.0,-488951130000.0,-15438465000.0,-85651467000.0,-92350799000.0,-84831550000.0,-78042229000.0,-30463045000.0,-33953405000.0,-30483045000.0,-4164164000.0,-56825710000.0,-4124121000.0,-27142706000.0,-27002693000.0,-26992691000.0,-27082699000.0,-8694865800.0,-1795178000.0,-8792874100.0,-884912300.0,-5112496300.0,-1085890100.0,-5742556900.0,-5987580400.0,-5669549000.0,-5388520900.0,-7462253500.0,-5225468700.0,-7453254800.0,-24252410000.0,-43224303000.0,-25152502000.0,-225563690.0,-221863000.0,-941292090.0,-649522040.0
20795,-44125588000.0,-77612203000.0,-44065600000.0,-97250257000.0,-11498877000.0,-97380247000.0,-8429174000.0,-6399378000.0,-7669251000.0,-9209098000.0,-32003197000.0,-38893897000.0,-31873184000.0,-531968870.0,-6279400000.0,-820493760.0,-23122307000.0,-21642159000.0,-22872282000.0,-24122407000.0,-4719471200.0,-3087312500.0,-4780476800.0,-4483556800.0,-32216786000.0,-452546300.0,-6963696000.0,-7610760700.0,-6901689800.0,-6228622400.0,-572543030.0,-705632450.0,-573942840.0,-923911300.0,-1985805800.0,-1083894700.0,-4859518500.0,-5026502200.0,-47514700.0,-4790525300.0
20796,-26077390000.0,-33476639000.0,-26197380000.0,-65993372000.0,-35176440000.0,-65793398000.0,-17068289000.0,-15338463000.0,-16938302000.0,-18738122000.0,-17661765000.0,-15121515000.0,-17641763000.0,-85868593000.0,-50445055000.0,-85778582000.0,-19321932000.0,-18361835000.0,-19281928000.0,-20252024000.0,-8844883700.0,-1267126300.0,-8909890100.0,-7478747900.0,-309069120.0,-7575757400.0,-6950693900.0,-7374736100.0,-6970695900.0,-6597658700.0,-31670100.0,-5537446100.0,-329669100.0,-6208620400.0,-2646264200.0,-6247624400.0,-111886100.0,-126871200.0,-1113887700.0,-952903800.0
20797,-3276663000.0,-38826131000.0,-33366659000.0,-57414258000.0,-94480565000.0,-5684263000.0,-25427435000.0,-24267551000.0,-2477443000.0,-2597323000.0,-62196217000.0,-6196178000.0,-62146213000.0,-53555356000.0,-45404540000.0,-53375338000.0,-61876191000.0,-6156145000.0,-61806184000.0,-62226225000.0,-129011700.0,-2993297700.0,-164015300.0,-384038500.0,-8311020.0,-378037700.0,-7386738200.0,-7565755900.0,-7375737100.0,-7203719900.0,-276372370.0,-568443170.0,-297270300.0,-76476230.0,-7629763600.0,-733473690.0,-167183420.0,-330867140.0,-172282940.0,-20198110.0
20798,-27797216000.0,-36856322000.0,-27737221000.0,-61713824000.0,-1458528000.0,-61083886000.0,-19058069000.0,-20207954000.0,-18748099000.0,-17388236000.0,-535.0,1494.0,-893.0,3067.0,13255.0,2122.0,-914.0,-6993770.0,-1138.0,-1154.0,-144.0,762.0,-265.0,1711.0,3136.0,1369.0,89.0,165.0,42.0,-1.0,-7200279800.0,-697301300.0,-7205279300.0,-635836400.0,-736974170.0,-658034150.0,-7485250400.0,-7587240100.0,-7487250100.0,-72259000.0
20799,-34646533000.0,-35486456000.0,-3406532000.0,-76092378000.0,-24527535000.0,-76032385000.0,-3406510000.0,-35566418000.0,-34626512000.0,-33596615000.0,-62903709000.0,-61903812000.0,-62853714000.0,-57134287000.0,-51204881000.0,-56964305000.0,-63563641000.0,-63373661000.0,-63513647000.0,-63633634000.0,-9704028900.0,-159835600.0,-967027500.0,-2851714500.0,-539354870.0,-2860713300.0,-8196177000.0,-8639132600.0,-8190177600.0,-7734223200.0,-202179660.0,-342265470.0,-221577690.0,-753974660.0,-7674766500.0,-724071610.0,-35163860.0,-627136590.0,-361063290.0,-92890140.0
20800,-20797914000.0,-17298278000.0,-20687923000.0,-189774000.0,-98900134000.0,-2349778000.0,-25487453000.0,-26827318000.0,-2497458000.0,-23937608000.0,-16958303000.0,-12258777000.0,-1678309000.0,-93150691000.0,-63713636000.0,-9290697000.0,-21147890000.0,-20767928000.0,-21127892000.0,-21467858000.0,-8434155800.0,-49994500.0,-8484150700.0,-8893109400.0,5852.3,-9007097600.0,-7628235100.0,-8383159300.0,-7652232600.0,-6924305400.0,-3175682300.0,-5135486900.0,-3177682000.0,-5462546800.0,-1367137800.0,-5500550500.0,-1429856200.0,-1665832600.0,-1415857600.0,-1160883000.0
20801,-29517038000.0,-42485772000.0,-28917095000.0,-16378382000.0,-72702694000.0,-16288387000.0,-17928238000.0,-19958035000.0,-17258304000.0,-14428585000.0,-28307168000.0,-30057001000.0,-28047193000.0,-5789444700.0,-1756206600.0,-5111509700.0,-25457466000.0,-24877525000.0,-25237488000.0,-25517459000.0,-3629636200.0,-272975200.0,-3633635300.0,-169023600.0,-24482458000.0,-228028100.0,-8102192000.0,-9314070800.0,-8051197100.0,-6771324900.0,-388560950.0,-67290890.0,-414158690.0,-412951700.0,-695919200.0,-597933700.0,-5040495000.0,-5223476400.0,-506491200.0,-4953503900.0
20802,-84051584000.0,-90780934000.0,-83631623000.0,-4899463000.0,-461553750000.0,-7319221000.0,-91200908000.0,-1139913000.0,-90440983000.0,-80242002000.0,-26657330000.0,-25527449000.0,-26567339000.0,-47345282000.0,-68343187000.0,-46965316000.0,-27757233000.0,-27917217000.0,-27617247000.0,-27367271000.0,-2076788600.0,-8925104000.0,-2076787700.0,-2282.0,-2222224700.0,-817.0,-6098385400.0,-6791315700.0,-6011393700.0,-5246470100.0,-2428756700.0,-5712436800.0,-225769300.0,-20182040000.0,-34783513000.0,-21142134000.0,-697827680.0,-920706430.0,-3355530.0,-885908100.0
20803,-5914034000.0,-45125526000.0,-60073973000.0,-449755010000.0,-558244170000.0,-456554320000.0,-85381387000.0,-82531672000.0,-86841240000.0,-92670655000.0,-9373939100.0,-3589353600.0,-9631966500.0,-97429729000.0,-306330590000.0,-9949876000.0,-2964315000.0,-9462964600.0,-3569375800.0,-7569776200.0,-6764325900.0,-1249878300.0,-6776325500.0,-9279244000.0,-66606656000.0,-93049306000.0,-240588650.0,-884524410.0,-931420120.0,-124300776.0,-741256600.0,-6056402600.0,-7304269700.0,-89208920000.0,-142814280000.0,-9209110000.0,-637934800.0,-3793617400.0,-9662032400.0,-6025396200.0
