regime_key,case_name,residual_csv_path,events_csv_path,n_candidates,k,n_events_written,n_missing_coord_nodes_skipped,tau_rel,tau_abs,p,kmin,kmax,status
G2_W_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_H\ip_2_arc_all_tracks_222\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_H\ip_2_arc_all_tracks_222\events_topk.csv,45537,1366,1366,0,3.0,0.0,0.03,1000,10000,OK
G2_W_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_H\ip_3track_1_arc_678\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_H\ip_3track_1_arc_678\events_topk.csv,67574,2027,2027,0,3.0,0.0,0.03,1000,10000,OK
G2_W_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_H\ip_first_track_3arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_H\ip_first_track_3arc_78910\events_topk.csv,78602,2358,2358,0,3.0,0.0,0.03,1000,10000,OK
G2_W_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,40574,1217,1217,0,3.0,0.0,0.03,1000,10000,OK
G2_W_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_L\ip_1and3line_3_arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_L\ip_1and3line_3_arc_78910\events_topk.csv,102510,3075,3075,0,3.0,0.0,0.03,1000,10000,OK
G2_W_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_L\Ip_1track_1_arc_345\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_L\Ip_1track_1_arc_345\events_topk.csv,50700,1521,1521,0,3.0,0.0,0.03,1000,10000,OK
G2_W_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_L\ip_2_arc_all_tracks_222\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_L\ip_2_arc_all_tracks_222\events_topk.csv,45293,1359,1359,0,3.0,0.0,0.03,1000,10000,OK
G2_W_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_L\ip_3track_1_arc_678\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_L\ip_3track_1_arc_678\events_topk.csv,71031,2131,2131,0,3.0,0.0,0.03,1000,10000,OK
G2_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_L\ip_first_track_3arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_L\ip_first_track_3arc_78910\events_topk.csv,82485,2475,2475,0,3.0,0.0,0.03,1000,10000,OK
G2_W_L,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_L\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_L\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,40327,1210,1210,0,3.0,0.0,0.03,1000,10000,OK
