node_id,x_n,y_n,z_n,t_n,rel_strength,s_norm
4556,0.6125,0.3125,0.62643055053608,0.6666666666666666,127.29999999999998,-0.32145955289963707
3542,0.3625,0.3125,0.6752463558607397,0.2222222222222222,126.69683257918551,-0.3244265548050761
7270,0.1125,0.483875,0.9402361161305867,0.0,126.67012658227847,-0.32455824633060226
2905,0.125,0.3125,0.6508384531984098,0.1111111111111111,126.66666666666664,-0.32457530974131527
18558,0.12500000000000017,0.2899875,0.8847729189254305,0.1111111111111111,126.66666666666664,-0.32457530974131527
3538,0.3625,0.309375,0.7059462715335502,0.0,126.58227848101265,-0.32499163374097473
6135,0.875,0.29553124999999997,0.8865317431634743,1.0,126.45569620253163,-0.32561663635130333
2531,0.1125,0.3125,0.6508384531984098,0.6666666666666666,126.19999999999997,-0.32688103716537653
3920,0.375,0.3125,0.62643055053608,0.4444444444444444,125.99999999999997,-0.32787179673715133
2532,0.1125,0.3125,0.62643055053608,0.4444444444444444,125.99999999999997,-0.32787179673715133
4554,0.6125,0.3125,0.6752463558607397,1.0,125.82278481012656,-0.3287509895880898
4932,0.625,0.3125,0.62643055053608,0.5555555555555556,125.60975609756095,-0.32980948652329073
18679,0.8625,0.2931125,0.8780026502830983,0.0,125.56962025316454,-0.330009112852038
3917,0.375,0.3125,0.6508384531984098,0.6666666666666666,125.39999999999998,-0.33085346408337174
3232,0.3625,0.3125,0.8084809059149499,0.0,125.31645569620251,-0.33126975513511503
4554,0.6125,0.3125,0.6752463558607397,0.0,125.31645569620251,-0.33126975513511503
2530,0.1125,0.3125,0.6752463558607397,0.0,125.31645569620251,-0.33126975513511503
4556,0.6125,0.3125,0.62643055053608,0.7777777777777778,124.99999999999997,-0.3328491157634289
3918,0.375,0.3125,0.6752463558607397,1.0,124.65822784810125,-0.3345592867866141
4555,0.6125,0.3125,0.6508384531984098,0.6666666666666666,124.59999999999998,-0.334851112928502
5568,0.8625,0.3125,0.62643055053608,0.1111111111111111,124.44444444444441,-0.33563138974706885
3917,0.375,0.3125,0.6508384531984098,0.7777777777777778,124.39999999999998,-0.3358545037033171
2531,0.1125,0.3125,0.6508384531984098,0.7777777777777778,124.39999999999998,-0.3358545037033171
2877,0.125,0.309375,0.7682568365257197,0.2222222222222222,124.11118293471233,-0.33730631330100747
4111,0.375,0.29553124999999997,0.8865317431634743,0.2222222222222222,124.11118293471233,-0.33730631330100747
5566,0.8625,0.3125,0.6752463558607397,0.2222222222222222,124.11118293471233,-0.33730631330100747
5123,0.625,0.29553124999999997,0.8865317431634743,0.2222222222222222,124.11118293471233,-0.33730631330100747
2906,0.125,0.3125,0.6752463558607397,0.0,124.05063291139238,-0.3376111077409024
5567,0.8625,0.3125,0.6508384531984098,0.3333333333333333,123.9772727272727,-0.33798058327006203
5568,0.8625,0.3125,0.62643055053608,0.3333333333333333,123.86363636363633,-0.33855333649608066
18701,0.8625,0.2899875,0.8847729189254305,0.5555555555555556,123.41463414634144,-0.34082152043140657
18645,0.6125,0.2931125,0.8918564028430309,0.2222222222222222,123.33548804137038,-0.3412221841305434
18548,0.125,0.2931125,0.8780026502830983,0.1111111111111111,123.33333333333331,-0.3412330955395015
4929,0.625,0.3125,0.6508384531984098,0.3333333333333333,123.29545454545452,-0.34142494403665735
4555,0.6125,0.3125,0.6508384531984098,0.7777777777777778,123.19999999999997,-0.34190866167506906
2908,0.125,0.3125,0.62643055053608,0.5555555555555556,123.17073170731705,-0.3420570537516327
3099,0.125,0.29553124999999997,0.8865317431634743,0.0,123.03797468354429,-0.3427305796123435
3917,0.375,0.3125,0.6508384531984098,0.4444444444444444,122.99999999999997,-0.3429233719316685
2531,0.1125,0.3125,0.6508384531984098,0.4444444444444444,122.99999999999997,-0.3429233719316685
4556,0.6125,0.3125,0.62643055053608,0.4444444444444444,122.99999999999997,-0.3429233719316685
3542,0.3625,0.3125,0.6752463558607397,1.0,122.94936708860759,-0.34318052022110934
3572,0.3625,0.309375,0.7682568365257197,0.2222222222222222,122.81835811247575,-0.3438463605516144
4934,0.625,0.309375,0.7059462715335502,0.2222222222222222,122.81835811247575,-0.3438463605516144
4930,0.625,0.3125,0.6752463558607397,0.2222222222222222,122.81835811247575,-0.3438463605516144
3918,0.375,0.3125,0.6752463558607397,0.0,122.78481012658226,-0.3440169782168284
4934,0.625,0.309375,0.7059462715335502,0.0,122.78481012658226,-0.3440169782168284
2905,0.125,0.3125,0.6508384531984098,0.3333333333333333,122.61363636363633,-0.3448882507773343
3159,0.125,0.294746875,0.8743645343934465,0.2222222222222222,122.43051066580477,-0.3458216953627646
2530,0.1125,0.3125,0.6752463558607397,1.0,122.253164556962,-0.3467270006700984
4929,0.625,0.3125,0.6508384531984098,0.1111111111111111,122.2222222222222,-0.34688508661640827
2906,0.125,0.3125,0.6752463558607397,1.0,122.1518987341772,-0.34724452054137545
3319,0.3625,0.29553124999999997,0.8865317431634743,0.2222222222222222,122.0426632191338,-0.3478032469139636
3544,0.3625,0.3125,0.62643055053608,0.5555555555555556,121.9512195121951,-0.3482713519069073
3543,0.3625,0.3125,0.6508384531984098,0.3333333333333333,121.93181818181816,-0.3483707130730461
5562,0.8625,0.309375,0.7059462715335502,0.2222222222222222,121.52553329023915,-0.3504550540334804
5942,0.875,0.3125,0.6752463558607397,0.2222222222222222,121.52553329023915,-0.3504550540334804
5566,0.8625,0.3125,0.6752463558607397,0.0,121.51898734177213,-0.3504886928977079
3542,0.3625,0.3125,0.6752463558607397,0.0,121.51898734177213,-0.3504886928977079
18558,0.12500000000000017,0.2899875,0.8847729189254305,1.0,121.51898734177213,-0.3504886928977079
2908,0.125,0.3125,0.62643055053608,1.0,121.03797468354429,-0.35296549194688664
4555,0.6125,0.3125,0.6508384531984098,0.4444444444444444,120.99999999999997,-0.3531614443042782
5343,0.8625,0.29553124999999997,0.8865317431634743,0.2222222222222222,120.49127343244989,-0.3557924112224429
5241,0.625,0.3125,0.8084809059149499,0.5555555555555556,120.48780487804875,-0.3558103872352085
4932,0.625,0.3125,0.62643055053608,0.3333333333333333,120.45454545454542,-0.35598278245873677
4331,0.6125,0.29553124999999997,0.8865317431634743,0.0,120.253164556962,-0.3570276194429497
4930,0.625,0.3125,0.6752463558607397,0.0,120.253164556962,-0.3570276194429497
5562,0.8625,0.309375,0.7059462715335502,0.0,120.253164556962,-0.3570276194429497
4901,0.625,0.309375,0.7682568365257197,0.2222222222222222,120.23270846800257,-0.35713385010798293
4930,0.625,0.3125,0.6752463558607397,1.0,119.94936708860759,-0.3586071187421445
3232,0.3625,0.3125,0.8084809059149499,0.5555555555555556,119.75609756097559,-0.3596140289556508
5941,0.875,0.3125,0.6508384531984098,0.8888888888888888,119.68085106382976,-0.36000648977451527
5944,0.875,0.3125,0.62643055053608,0.8888888888888888,119.57446808510636,-0.36056176591769584
18679,0.8625,0.2931125,0.8780026502830983,0.1111111111111111,119.33333333333331,-0.3618222077923623
6135,0.875,0.29553124999999997,0.8865317431634743,0.1111111111111111,119.2222222222222,-0.3624038499380625
3572,0.3625,0.309375,0.7682568365257197,1.0,119.126582278481,-0.3629049345965523
3217,0.125,0.3125,0.8084809059149499,0.1111111111111111,118.88888888888887,-0.36415200722382773
3543,0.3625,0.3125,0.6508384531984098,0.1111111111111111,118.88888888888887,-0.36415200722382773
2908,0.125,0.3125,0.62643055053608,0.1111111111111111,118.88888888888887,-0.36415200722382773
5256,0.8625,0.3125,0.8084809059149499,0.5555555555555556,118.29268292682924,-0.3672909488278383
2908,0.125,0.3125,0.62643055053608,0.3333333333333333,118.18181818181816,-0.3678763657641143
5566,0.8625,0.3125,0.6752463558607397,1.0,117.84810126582278,-0.36964183719470833
5256,0.8625,0.3125,0.8084809059149499,0.1111111111111111,117.77777777777776,-0.3700145037487147
3572,0.3625,0.309375,0.7682568365257197,0.0,117.72151898734175,-0.37031279588772587
2877,0.125,0.309375,0.7682568365257197,0.0,117.72151898734175,-0.37031279588772587
5942,0.875,0.3125,0.6752463558607397,0.0,117.72151898734175,-0.37031279588772587
18558,0.12500000000000017,0.2899875,0.8847729189254305,0.3333333333333333,117.61363636363635,-0.3708852005923203
18646,0.6125,0.2899875,0.8984941573304421,0.2222222222222222,117.51777634130573,-0.3713942526515215
3544,0.3625,0.3125,0.62643055053608,0.3333333333333333,117.04545454545452,-0.37390848296860363
2307,0.1125,0.29553124999999997,0.8865317431634743,1.0,116.96202531645568,-0.3743536328054065
3217,0.125,0.3125,0.8084809059149499,0.5555555555555556,116.4512195121951,-0.37708600180454616
4550,0.6125,0.309375,0.7059462715335502,0.2222222222222222,116.35423400129281,-0.37760613244788555
5944,0.875,0.3125,0.62643055053608,0.6666666666666666,115.99999999999999,-0.3795095387769309
5942,0.875,0.3125,0.6752463558607397,1.0,115.97468354430379,-0.37964579231088497
4932,0.625,0.3125,0.62643055053608,0.1111111111111111,115.55555555555553,-0.38190584072917394
2910,0.125,0.309375,0.7059462715335502,0.1111111111111111,115.55555555555553,-0.38190584072917394
18650,0.375,0.2899875,0.8984941573304421,0.2222222222222222,115.31997414350354,-0.38317972815452284
4111,0.375,0.29553124999999997,0.8865317431634743,0.0,115.31645569620252,-0.3831987734214566
17278,0.3625,0.29628125,0.8848572461149259,0.2222222222222222,115.19069166127989,-0.3838799095785456
18645,0.6125,0.2931125,0.8918564028430309,0.0,115.1898734177215,-0.3838843435871267
4550,0.6125,0.309375,0.7059462715335502,0.0,115.1898734177215,-0.3838843435871267
4901,0.625,0.309375,0.7682568365257197,0.0,115.1898734177215,-0.3838843435871267
5941,0.875,0.3125,0.6508384531984098,0.6666666666666666,115.09999999999998,-0.38437155195581285
5123,0.625,0.29553124999999997,0.8865317431634743,0.0,115.06329113924049,-0.3845706610498329
3159,0.125,0.294746875,0.8743645343934465,0.0,114.55696202531644,-0.3873234365701641
4901,0.625,0.309375,0.7682568365257197,1.0,114.48101265822784,-0.38773739291508447
3538,0.3625,0.309375,0.7059462715335502,0.5555555555555556,114.2682926829268,-0.3888982579549331
18701,0.8625,0.2899875,0.8847729189254305,0.3333333333333333,114.09090909090907,-0.389867922918379
4929,0.625,0.3125,0.6508384531984098,0.8888888888888888,114.04255319148933,-0.3901325190181993
5314,0.8625,0.294746875,0.8743645343934465,0.2222222222222222,113.63930187459597,-0.3923433894481964
3543,0.3625,0.3125,0.6508384531984098,0.8888888888888888,113.51063829787232,-0.39305043868097694
5944,0.875,0.3125,0.62643055053608,0.7777777777777778,113.49999999999999,-0.3931089352274899
3541,0.3625,0.3125,0.6996542585230695,1.0,113.41772151898734,-0.39356154154039574
2910,0.125,0.309375,0.7059462715335502,0.5555555555555556,113.41463414634144,-0.3935785312266288
5568,0.8625,0.3125,0.62643055053608,0.8888888888888888,113.29787234042551,-0.3942214034557986
2877,0.125,0.309375,0.7682568365257197,1.0,113.20253164556961,-0.39474682164515873
5941,0.875,0.3125,0.6508384531984098,0.7777777777777778,113.19999999999997,-0.3947607794052305
3319,0.3625,0.29553124999999997,0.8865317431634743,0.0,113.1645569620253,-0.3949562205422536
18701,0.8625,0.2899875,0.8847729189254305,1.0,113.03797468354429,-0.3956547202566086
5946,0.875,0.309375,0.7059462715335502,0.0,112.65822784810125,-0.3977548809027447
5596,0.8625,0.309375,0.7682568365257197,0.2222222222222222,112.47575953458305,-0.3987665049959147
5946,0.875,0.309375,0.7059462715335502,0.2222222222222222,112.47575953458305,-0.3987665049959147
2879,0.125,0.309375,0.8107697867726779,0.2222222222222222,112.47575953458305,-0.3987665049959147
