Node Number,Residual_EquivalentStress_t0p1,Residual_EquivalentStress_t0p5,Residual_EquivalentStress_t0p9,Residual_EquivalentStress_t1p1,Residual_EquivalentStress_t1p5,Residual_EquivalentStress_t1p9,Residual_EquivalentStress_t2p1,Residual_EquivalentStress_t2p5,Residual_EquivalentStress_t2p9,Residual_EquivalentStress_t3p0,Residual_ShearStress_XY_t0p1,Residual_ShearStress_XY_t0p5,Residual_ShearStress_XY_t0p9,Residual_ShearStress_XY_t1p1,Residual_ShearStress_XY_t1p5,Residual_ShearStress_XY_t1p9,Residual_ShearStress_XY_t2p1,Residual_ShearStress_XY_t2p5,Residual_ShearStress_XY_t2p9,Residual_ShearStress_XY_t3p0,Residual_ShearStress_XZ_t0p1,Residual_ShearStress_XZ_t0p5,Residual_ShearStress_XZ_t0p9,Residual_ShearStress_XZ_t1p1,Residual_ShearStress_XZ_t1p5,Residual_ShearStress_XZ_t1p9,Residual_ShearStress_XZ_t2p1,Residual_ShearStress_XZ_t2p5,Residual_ShearStress_XZ_t2p9,Residual_ShearStress_XZ_t3p0,Residual_ShearStress_YZ_t0p1,Residual_ShearStress_YZ_t0p5,Residual_ShearStress_YZ_t0p9,Residual_ShearStress_YZ_t1p1,Residual_ShearStress_YZ_t1p5,Residual_ShearStress_YZ_t1p9,Residual_ShearStress_YZ_t2p1,Residual_ShearStress_YZ_t2p5,Residual_ShearStress_YZ_t2p9,Residual_ShearStress_YZ_t3p0
15642,-370000000.0,-370000000.0,-410000000.0,-55920000000.0,-850000000.0,60700000000.0,-1150000000.0,-1360000000.0,-88340000000.0,-540000000.0,-246000000.0,-272000000.0,-7277000000.0,-280000000.0,-291000000.0,-289000000.0,-3020000000.0,-280000000.0,-320000000.0,-323000000.0,-252000000.0,-283000000.0,-288000000.0,-292000000.0,-299000000.0,-6943000000.0,-264000000.0,-300000000.0,-349000000.0,-314000000.0,-730000000.0,331700000.0,326600000.0,-2984000000.0,-681000000.0,2422000000.0,-620000000.0,8680000000.0,-780000000.0,-729000000.0
15643,580000000.0,650000000.0,650000000.0,550000000.0,490000000.0,560000000.0,-570000000.0,-880000000.0,-740000000.0,-41030000000.0,-5998000000.0,7021000000.0,355000000.0,349000000.0,353000000.0,358000000.0,-336000000.0,-380000000.0,-421000000.0,-4890000000.0,22000000.0,244000000.0,-7063000000.0,242000000.0,246000000.0,2719000000.0,-221000000.0,-239000000.0,-7753000000.0,260000000.0,-781800000.0,-557600000.0,-753800000.0,-19545.0,751400000.0,-24972.0,-220000000.0,-240000000.0,-283000000.0,157800000.0
15644,1450000000.0,1610000000.0,1620000000.0,1610000000.0,-8388000000.0,1640000000.0,-1490000000.0,-1640000000.0,-41030000000.0,-27440000000.0,408000000.0,458000000.0,1830000000.0,458000000.0,466000000.0,469000000.0,4568000000.0,-470000000.0,-541000000.0,484000000.0,264000000.0,292000000.0,294000000.0,293000000.0,298000000.0,298000000.0,-264000000.0,-290000000.0,1604000000.0,313000000.0,76900000.0,85500000.0,85900000.0,85500000.0,87700000.0,491500000.0,-74000000.0,-80000000.0,-2768000000.0,-54500000.0
15645,790000000.0,880000000.0,54350000000.0,880000000.0,900000000.0,900000000.0,-723000000.0,-900000000.0,-1689000000.0,51980000000.0,-43100000.0,-45900000.0,-46600000.0,-48100000.0,-49200000.0,-48900000.0,-3991000000.0,-69000000.0,-69000000.0,-42700000.0,-6805.0,-7618.0,-7689.0,-7642.0,-7611.0,-7769.0,-62000000.0,-63000000.0,-81000000.0,-82500000.0,92000000.0,102100000.0,-159900000.0,102500000.0,-895600000.0,104700000.0,-90000000.0,-96000000.0,-3868000000.0,120700000.0
15646,-9400000000.0,1300000000.0,1280000000.0,1290000000.0,1340000000.0,1310000000.0,-1270000000.0,-1520000000.0,-1620000000.0,1510000000.0,434000000.0,486000000.0,489000000.0,490000000.0,500000000.0,500000000.0,-434000000.0,-480000000.0,-557000000.0,820000000.0,564000000.0,622000000.0,627000000.0,628000000.0,634000000.0,637000000.0,-570000000.0,-620000000.0,-720000000.0,690000000.0,102200000.0,-888700000.0,112000000.0,118300000.0,114000000.0,-886200000.0,6192000000.0,-104000000.0,-6505000000.0,133500000.0
15647,450000000.0,86370000000.0,490000000.0,490000000.0,8960000000.0,480000000.0,-820000000.0,-1140000000.0,-1050000000.0,580000000.0,249000000.0,496000000.0,-9499000000.0,3266000000.0,513000000.0,-2855000000.0,-462000000.0,-90430000000.0,8131000000.0,547000000.0,3448000000.0,47000000.0,473000000.0,8012000000.0,481000000.0,481000000.0,-452000000.0,-490000000.0,-558000000.0,515000000.0,-13200000.0,-28700000.0,-839400000.0,-25000000.0,-30000000.0,8481000000.0,-8000000.0,-12000000.0,-4310000000.0,391000000.0
15648,450000000.0,530000000.0,510000000.0,1230000000.0,-460000000.0,1110000000.0,-1120000000.0,-1440000000.0,-1480000000.0,520000000.0,2000000.0,10000000.0,14000000.0,19000000.0,28000000.0,23000000.0,47000000.0,105000000.0,-1201000000.0,45000000.0,171000000.0,176000000.0,177000000.0,187000000.0,183000000.0,182000000.0,112700000.0,-243000000.0,-243200000.0,180000000.0,9552000000.0,-507000000.0,-511000000.0,-1323000000.0,-516000000.0,-520000000.0,-420000000.0,-460000000.0,-550000000.0,-526000000.0
15649,-500000000.0,-70000000.0,-460000000.0,-3450000000.0,-4010000000.0,-3550000000.0,-4400000000.0,-4800000000.0,-5500000000.0,-840000000.0,1239000000.0,1412000000.0,1427000000.0,471300000.0,-1438000000.0,-449700000.0,-1220000000.0,-1300000000.0,-1560000000.0,-8601000000.0,630000000.0,711000000.0,72000000.0,721000000.0,737000000.0,738000000.0,-700000000.0,-810000000.0,-890000000.0,785000000.0,8734000000.0,304000000.0,8665000000.0,-1349000000.0,-345900000.0,-1338000000.0,-1260000000.0,-1320000000.0,-1490000000.0,8673000000.0
15650,-660000000.0,-460000000.0,-620000000.0,-90000000.0,780000000.0,-30000000.0,97340000000.0,-3500000000.0,-4200000000.0,-660000000.0,1034000000.0,1135000000.0,1141000000.0,1143000000.0,1162000000.0,1161000000.0,-990000000.0,-1020000000.0,-1230000000.0,1187000000.0,1312000000.0,1440000000.0,-1397000000.0,-699300000.0,3621000000.0,-464300000.0,-1200000000.0,-1200000000.0,-1500000000.0,448000000.0,70000000.0,-1337000000.0,-1330000000.0,725837728.0,1332000000.0,319900000.0,20280000000.0,-1210000000.0,21360000000.0,-1318000000.0
15651,261000000.0,568000000.0,8786000000.0,1828000000.0,1950000000.0,1801000000.0,-3530000000.0,-601200000000.0,41150000000.0,-160000000.0,-4915000000.0,-7259000000.0,5075000000.0,1553000000.0,-39000000.0,1166000000.0,-1050000000.0,-1100000000.0,-1320000000.0,1260000000.0,1344000000.0,1469000000.0,1473000000.0,-557000000.0,-439900000.0,-541300000.0,-1220000000.0,-1210000000.0,91500000000.0,1675000000.0,-1284000000.0,-1314000000.0,-1310000000.0,9018000000.0,-9470000000.0,-8709000000.0,-1240000000.0,-1240000000.0,86620000000.0,8470000000.0
